Timestep	VariableName	EntityIdx	Value	Metadata
2	Regional Casualties	Region01	0	Actor health
2	Regional Casualties	Region02	0	Actor health
2	Regional Casualties	Region03	0	Actor health
2	Regional Casualties	Region04	0	Actor health
2	Regional Casualties	Region05	0	Actor health
2	Regional Casualties	Region06	0	Actor health
2	Regional Casualties	Region07	0	Actor health
2	Regional Casualties	Region08	0	Actor health
2	Regional Casualties	Region09	0	Actor health
2	Regional Casualties	Region10	0	Actor health
2	Regional Casualties	Region11	0	Actor health
2	Regional Casualties	Region12	0	Actor health
2	Regional Casualties	Region13	0	Actor health
2	Regional Casualties	Region14	0	Actor health
2	Regional Casualties	Region15	0	Actor health
2	Regional Casualties	Region16	0	Actor health
2	Regional Sheltered	Region01	0	Actor location
2	Regional Sheltered	Region02	0	Actor location
2	Regional Sheltered	Region03	0	Actor location
2	Regional Sheltered	Region04	0	Actor location
2	Regional Sheltered	Region05	0	Actor location
2	Regional Sheltered	Region06	0	Actor location
2	Regional Sheltered	Region07	0	Actor location
2	Regional Sheltered	Region08	0	Actor location
2	Regional Sheltered	Region09	0	Actor location
2	Regional Sheltered	Region10	0	Actor location
2	Regional Sheltered	Region11	0	Actor location
2	Regional Sheltered	Region12	0	Actor location
2	Regional Sheltered	Region13	0	Actor location
2	Regional Sheltered	Region14	0	Actor location
2	Regional Sheltered	Region15	0	Actor location
2	Regional Sheltered	Region16	0	Actor location
3	Deaths	[Actor1-160]	0	Actor alive
3	Casualties	[Actor1-160]	0	Actor health
3	Evacuees	[Actor1-160]	0	Actor location
3	Sheltered	[Actor1-160]	0	Actor location
3	Wellbeing	[Actor1-160]	0.7182499999999999	Actor health
3	Wealth	[Actor1-160]	0.6569999999999998	Actor resources
3	Safety	[Region1-16]	1.0	Region risk
3	Prosocial	[Actor1-160]	21	Actor action
3	Antisocial	[Actor1-160]	10	Actor action
3	Regional Wellbeing	Region01	0.5333333333333334	Actor health
3	Regional Wellbeing	Region02	0.7999999999999999	Actor health
3	Regional Wellbeing	Region03	0.65	Actor health
3	Regional Wellbeing	Region04	0.6	Actor health
3	Regional Wellbeing	Region05	0.775	Actor health
3	Regional Wellbeing	Region06	0.7962105263157895	Actor health
3	Regional Wellbeing	Region07	0.82	Actor health
3	Regional Wellbeing	Region08	0.7142857142857143	Actor health
3	Regional Wellbeing	Region09	0.7818181818181817	Actor health
3	Regional Wellbeing	Region10	0.7111111111111112	Actor health
3	Regional Wellbeing	Region11	0.7250000000000001	Actor health
3	Regional Wellbeing	Region12	0.7833333333333332	Actor health
3	Regional Wellbeing	Region13	0.6727272727272727	Actor health
3	Regional Wellbeing	Region14	0.4657777777777778	Actor health
3	Regional Wellbeing	Region15	0.7090909090909091	Actor health
3	Regional Wellbeing	Region16	0.7142857142857143	Actor health
3	Regional Deaths	Region01	0	Actor alive
3	Regional Deaths	Region02	0	Actor alive
3	Regional Deaths	Region03	0	Actor alive
3	Regional Deaths	Region04	0	Actor alive
3	Regional Deaths	Region05	0	Actor alive
3	Regional Deaths	Region06	0	Actor alive
3	Regional Deaths	Region07	0	Actor alive
3	Regional Deaths	Region08	0	Actor alive
3	Regional Deaths	Region09	0	Actor alive
3	Regional Deaths	Region10	0	Actor alive
3	Regional Deaths	Region11	0	Actor alive
3	Regional Deaths	Region12	0	Actor alive
3	Regional Deaths	Region13	0	Actor alive
3	Regional Deaths	Region14	0	Actor alive
3	Regional Deaths	Region15	0	Actor alive
3	Regional Deaths	Region16	0	Actor alive
3	Regional Casualties	Region01	0	Actor health
3	Regional Casualties	Region02	0	Actor health
3	Regional Casualties	Region03	0	Actor health
3	Regional Casualties	Region04	0	Actor health
3	Regional Casualties	Region05	0	Actor health
3	Regional Casualties	Region06	0	Actor health
3	Regional Casualties	Region07	0	Actor health
3	Regional Casualties	Region08	0	Actor health
3	Regional Casualties	Region09	0	Actor health
3	Regional Casualties	Region10	0	Actor health
3	Regional Casualties	Region11	0	Actor health
3	Regional Casualties	Region12	0	Actor health
3	Regional Casualties	Region13	0	Actor health
3	Regional Casualties	Region14	0	Actor health
3	Regional Casualties	Region15	0	Actor health
3	Regional Casualties	Region16	0	Actor health
3	Regional Sheltered	Region01	0	Actor location
3	Regional Sheltered	Region02	0	Actor location
3	Regional Sheltered	Region03	0	Actor location
3	Regional Sheltered	Region04	0	Actor location
3	Regional Sheltered	Region05	0	Actor location
3	Regional Sheltered	Region06	0	Actor location
3	Regional Sheltered	Region07	0	Actor location
3	Regional Sheltered	Region08	0	Actor location
3	Regional Sheltered	Region09	0	Actor location
3	Regional Sheltered	Region10	0	Actor location
3	Regional Sheltered	Region11	0	Actor location
3	Regional Sheltered	Region12	0	Actor location
3	Regional Sheltered	Region13	0	Actor location
3	Regional Sheltered	Region14	0	Actor location
3	Regional Sheltered	Region15	0	Actor location
3	Regional Sheltered	Region16	0	Actor location
4	Deaths	[Actor1-160]	0	Actor alive
4	Casualties	[Actor1-160]	0	Actor health
4	Evacuees	[Actor1-160]	0	Actor location
4	Sheltered	[Actor1-160]	0	Actor location
4	Wellbeing	[Actor1-160]	0.7224499999999999	Actor health
4	Wealth	[Actor1-160]	0.6426	Actor resources
4	Safety	[Region1-16]	1.0	Region risk
4	Prosocial	[Actor1-160]	21	Actor action
4	Antisocial	[Actor1-160]	10	Actor action
4	Regional Wellbeing	Region01	0.5333333333333334	Actor health
4	Regional Wellbeing	Region02	0.7999999999999999	Actor health
4	Regional Wellbeing	Region03	0.65	Actor health
4	Regional Wellbeing	Region04	0.6	Actor health
4	Regional Wellbeing	Region05	0.775	Actor health
4	Regional Wellbeing	Region06	0.8103578947368422	Actor health
4	Regional Wellbeing	Region07	0.82	Actor health
4	Regional Wellbeing	Region08	0.7142857142857143	Actor health
4	Regional Wellbeing	Region09	0.7818181818181817	Actor health
4	Regional Wellbeing	Region10	0.6933333333333335	Actor health
4	Regional Wellbeing	Region11	0.7250000000000001	Actor health
4	Regional Wellbeing	Region12	0.7833333333333332	Actor health
4	Regional Wellbeing	Region13	0.6727272727272727	Actor health
4	Regional Wellbeing	Region14	0.5283555555555556	Actor health
